es
Name,Display Name,Translated Display Name [es],Group,Translated Group [es],Description,Translated Description [es],Success Description,Translated Success Description [es],Failure Description,Translated Failure Description [es],Entry 1,Translated Entry [1],Entry 2,Translated Entry [2],Entry 3,Translated Entry [3],Entry 4,Translated Entry [4],Entry 5,Translated Entry [5],Entry 6,Translated Entry [6],Entry 7,Translated Entry [7]
AliceLab,,,,,,,,,,,Turn off the electric floor.,,Stop the mutation process.,,Open the door to Kevin's cage.,,Find the pages in the cage.,,Escape the lab from the slide.,,,,,
AliceLunch,,,,,,,,,,,Open the empty classroom.,,Hide in the pot.,,Tell Alice about the pit.,,,,,,,,,
AliceMorningTime,,,,,,,,,,,Pick up your daughter from school.,,Bring your child home.,,Get a calculator.,,Do homework with your child.,,,,,,,
AliceRecess,,,,,,,,,,,Shoot Booboo with the arrow.,,Save Austin from the bunny.,,Run over Booboo.,,Get Alice from the Alcove,,Use the remote to access the lab.,,,,,
AliceSchoolyard,,,,,,,,,,,Get Alice her diary.,,Get Austin to help Alice.,,,,,,,,,,,
CarlaLunch,,,,,,,,,,,EscapeLunch,,UnlockClassroom,,OpenVent,,,,,,,,,
CarlaMorningTime,,,,,,,,,,,GrowBeanstalk,,GiveJackBook,,,,,,,,,,,
CarlaSchoolyard,,,,,,,,,,,Escape from Stevie.,,,,,,,,,,,,,
CarlaStudyHall,,,,,,,,,,,Escape the library while Carla distracts Stevie and Monty.,,Get the key to the janitor's closet from Mr. Scippio.,,Open the vent in the janitor's closet and return to study hall.,,,,,,,,,
CindyBludgeon,,,,,,,,,,,,,,,,,,,,,,,,
DaveyLunch,,,Davey,,,,,,,,Steal the scalpel from the nurse's office.,,Find a way back into the library.,,Cut the power to the trap door in the principal's office.,,,,,,,,,
DaveyMorningTime,,,Davey,,,,,,,,Get the axe out of the case.,,Find someone to play grandma.,,Find a red sheet.,,Cure Nugget,,,,,,,
DaveyRecess,,,Davey,,,,,,,,Get back inside.,,Get Monty to move.,,Get the axe.,,Get Austin to throw the rock at the window.,,,,,,,
DaveySchoolyard,,,Davey,,,,,,,,Defend Linda's honor by confronting the janitor.,,Ask the teacher to put on the Little Red Riding Hood play.,,Recruit someone to play Little Red. Riding Hood.,,,,,,,,,
EmmyLunch,,,Emmy,,,,,,,,,,,,,,,,,,,,,
EmmyMorningTime,,,Emmy,,,,,,,,Grow the beanstalk.,,Get the blue flowers off the roof.,,Wash the blue flowers.,,Give the blue flowers to Emmy.,,,,,,,
EmmyRecess,,,Emmy,,,,,,,,,,,,,,,,,,,,,
EmmySchoolyard,,,Emmy,,,,,,,,Find Emmy a friend to help with her garden.,,Go check on Emmy.,,Get the watering can from the classroom.,,Give the watering can to Emmy.,,,,,,,
FelixEyes,,,,,,,,,,,,,,,,,,,,,,,,
FelixLunch,,,,,,,,,,,Talk to Janitor.,,Steal flare from Janitor.,,Give phone to Monty.,,Tell Felix about Janitor.,,,,,,,
FelixMorningTime,,,,,,,,,,,Get teacher out of stall.,,Save teacher from burning to death.,,Get into the empty classroom.,,,,,,,,,
FelixSchoolyard,,,,,,,,,,,,,,,,,,,,,,,,
FelixStudyHall,,,,,,,,,,,DistractApplegate,,Attend group,,Tell Monty he's been betrayed.,,,,,,,,,
FinalLab2,,,,,,,,,,,Send Birdy.,,Send Booboo.,,Send Bunny.,,Send Guppy.,,Turn on magnet.,,,,,
FinalLab3,,,,,,,,,,,Shoot Regis 1,,Break antigoo 1,,Shoot Regis 2,,Break antigoo 2,,,,,,,
FinalLunch,,,,,,,,,,,Use the bird to stop Regis,,Save Nugget,,,,,,,,,,,
FinalMorningTime,,,,,,,,,,,Cure Nugget.,,Knock down beepboop.,,Use Axe on Beepboop,,Water beep boop,,Give core to Monty.,,,,,
FinalSchoolyard,,,,,,,,,,,,,,,,,,,,,,,,
JanitorLunch,,,Janitor,,,,,,,,GetKey,,,,,,,,,,,,,
JanitorMorningTime,,,Janitor,,,,,,,,GetToiletPaper,,GetCigarette,,Reattach arm.,,,,,,,,,
JanitorRecess,,,Janitor,,,,,,,,Place the rabbit on the X,,Boop Linda,,,,,,,,,,,
JanitorSchoolyard,,,Janitor,,,,,,,,Get the janitor some bandages from the nurse.,,Retrieve the janitor's arm from Linda.,,Retrieve the fish from the classroom.,,Talk to Linda about getting the arm back.,,,,,,,
NuggetLab,,,,,,,,,,,Give Kevin a Nugget,,Open the cage,,Summon Linda,,Give Linda nugget,,,,,,,
NuggetLunch,,,,,,,,,,,Get Lily some fake blood.,,Learn about antidote.,,Get right antidote for Nugget.,,Get white soda.,,Get purple soda.,,Get yellow soda.,,Get red soda.,
NuggetMorningTime,,,,,,,,,,,Get Scippio his flask.,,Get Nugget cured.,,,,,,,,,,,
NuggetRecess,,,,,,,,,,,Get shovel,,Give shovel,,Get nuggets,,Dump nuggets,,,,,,,
NuggetSchoolyard,,,,,,,,,,,Give Nugget the playbook.,,Turn on the shower.,,Go into tree.,,Get rid of Regis.,,,,,,,
TeacherMorningTime,,,,,,,,,,,GetCrown,,GetGoo,,GetBouquet,,GetGuppy,,,,,,,
TeacherOzRecruit,,,,,,,,,,,Meet Teacher in Library,,GetOzBook,,RecruitOzActors,,Save Felix,,RecruitAgnes,,RecruitNugget,,RecruitCindy,
TeacherSchoolyard,,,,,,,,,,,RecruitNugget,,,,,,,,,,,,,
