Field,Default,Default [es]
Anvil,That was the wrong janitorial maneuver.,Esa no era la maniobra de conserje correcta.
BearTrap,The trap works on bunnies AND children.,La trampa funciona con conejos Y niños.
Bird,Caw caw caw-runch!,¡Crá-cra-cra-crunch!
Gator,Did you really just 'boop' the gator?,¿En serio intentaste hacerle “boop” al caimán?
GooPoison,You should really go see the nurse before the bell rings.,Deberías ver a la enfermera antes de que suene la campana.
TrapDoor,Perhaps Mr. Scippio was trying to warn you about something in secret.,Quizá el Sr. Scippio intentaba advertirte de algo... en secreto.
OfficePit,Who even puts a giant pit in a principal's office?,¿Quién pone un pozo gigante en la oficina del director?
Rabbit,It's like that one rabbit from that movie!,¡Como ese conejo de la película!
WrongBook,That was the wrong book.,Ese era el libro equivocado.
Flowers,The blue flowers sure do smell funny.,Las flores azules sí que huelen raro.
NuggetMonster,Nugget sure is different after he ate goo and broke his legs.,Nugget definitivamente cambió después de comer goo y romperse las piernas.
Beanstalk,It sure would be nice if there was a beanstalk there.,Sería genial si hubiera una planta de frijol ahí.
VendingMachine,Vending machines are really heavy.,Las máquinas expendedoras pesan un montón.
Kevin,That bell sure is loud!,¡Esa campana sí que suena fuerte!
GooDog,Bad puppy!,¡Perrito malo!
Fire,Touching fire is bad.,Tocar fuego es mala idea.
FireLeaveBathroom,You were just gonna leave her burning like that?,¿De verdad ibas a dejarla ardiendo así?
FireUseApple,You might want to handle the burning teacher with a little more urgency.,Quizá deberías apurarte con la maestra en llamas.
Helicopter,Those missiles really work!,¡Esos misiles sí funcionan!
Electrocution,Those lab security measures really hurt.,Las medidas de seguridad del laboratorio sí que duelen.
LabExplode,You should get out of the lab BEFORE it explodes. Not after.,Deberías salir del laboratorio ANTES de que explote. No después.
Creature,I liked Alice better before she changed into a murderous creature.,Me caía mejor Alice antes de que se volviera una criatura asesina.
LawnMower,Who could have possibly seen that coming?,¿Quién podría haberlo visto venir?
Bird2,Did you forget about Birdy's promise?,¿Se te olvidó la promesa de Birdy?
BirdNuggetDead,Nugget could probably convince the bird to not do that to you if he wasn't dead.,Nugget podría convencer al pájaro de no hacerte eso... si no estuviera muerto.
BirdNuggetStudyHall,Nugget could probably convince the bird to not do that to you if he wasn't in study hall.,Nugget podría convencer al pájaro de no hacerte eso... si no estuviera en la sala de estudio.
Dive,What did you think would happen?,¿Qué pensabas que iba a pasar?
Meteor,Try not to be on the roof when the day ends.,Intenta no estar en el techo cuando termine el día.
Kevin2,You should give Kevin something that signifies friendship. A tasty nugget perhaps?,Deberías darle a Kevin algo que signifique amistad. ¿Quizá un nugget sabroso?
BeepBoop,Beep. Beep. Beeeeeeeeeeeeeeeep.,Beep. Beep. Beeeeeeeeeeeeeeeep.
