Conversation ID,Entry ID,Actor,Original Text,Translated Text [es],Original Menu,Translated Menu [es],Description
1,0,Player,,,,,
1,1,Nugget,Green goo. Green goo. Nugget likes the green goo.,,,,
1,3,Player,,,"Uh... whatcha doing there, Nugget?",,
1,4,Nugget,Nugget is enjoying this nice puddle of green goo! Please join Nugget!,,,,
1,10,Player,,,Ummm... okay.,,
1,14,Player,,,No thanks.,,
1,15,Nugget,Nugget has an idea! Nugget's new goo friend should eat the goo!,,,,
1,16,Player,,,Sounds tasty.,,
1,17,Player,,,Sounds nasty.,,
1,18,Nugget,,,"Yes, yes! Consume the goo as Nugget has and-",,
1,19,Nugget,Uh... Nugget's friend has turned green.,,,,
1,20,Player,,,I don't feel so good.,,
1,21,Nugget,Perhaps Nugget's friend cannot endure the goo like Nugget can. Perhaps Nugget's friend should see the nurse.,,,,
1,22,Player,,,That might be a good idea.,,
1,23,Nugget,The goo is not nasty! The goo would make excellent Nugget sauce!,,,,
1,24,Player,,,Fine. I'll try it.,,
1,25,Player,,,I'm not eating it.,,
1,26,Nugget,If Nugget's friend insists. More goo for Nugget.,,,,
1,32,Player,,,Enjoy that.,,
1,33,Nugget,,,,,
1,34,Player,,,(Leave him to his goo.),,
1,35,Nugget,Nugget's friend is the same color as the goo. Perhaps Nugget's friend should seek medical attention.,,,,
1,36,Player,,,Good idea.,,
1,39,Nugget,Has Nugget's friend changed his mind? Would he like to try the goo?,,,,
1,41,Player,,,Wanna be in a play?,,
1,42,Nugget,Nugget is much too busy with his goo to become a thespian.,,,,
1,43,Player,,,"Yeah, this looks pretty time consuming.",,
1,44,Nugget,Unless...<kgwait>,,,,
1,45,Player,,,Unless?,,
1,46,Nugget,Nugget's casting director friend eats some of the goo with Nugget.,,,,
1,47,Player,,,Deal.,,
1,48,Player,,,Not happening.,,
1,49,Nugget,Yes! Consume the goo and Nugget will be an actor-!,,,,
1,55,Player,,,That might be a good idea.,,
1,56,Nugget,Nugget will start preparing for his role... <kgwait>after consuming more goo.,,,,
1,57,Player,,,Break a leg Nugget.,,
1,58,Nugget,Very well. Nugget is happy to die a nameless nobody.,,,,
1,59,Player,,,(Let him die a nameless nobody.),,
1,60,Nugget,,,,,
1,61,Nugget,I see Nugget's friend did not die from the goo.,,,,
1,62,Player,,,Nope. Bye.,,
1,63,Player,,,I did not.,,
1,64,Nugget,Nugget is impressed by his goo eating friend's fortitude,,,,
1,65,Player,,,Me too honestly.,,
1,66,Player,,,Wanna be Red Riding Hood?,,
1,67,Player,,,How about you take this instead?,,
1,68,Nugget,What is-?<kgwait> How did Nugget's friend procure a Nugget of Friendship<sup>TM</sup> without first being a friend of Nugget?,,,,
1,69,Player,,,Do you want it or not?,,
1,70,Nugget,"Yes, of course Nugget wants it!<kgwait> And Nugget will be in the play! Nugget will be an actor!",,,,
1,71,Player,,,"Break a leg, Nugget.",,
1,72,Nugget,Nugget appreciates the Nugget of Friendship.<sup>TM</sup> Nugget looks forward to being a child of red hoods.,,,,
1,73,Player,,,Same bruh.,,
1,74,Player,,,Wanna be in a play?,,
1,75,Nugget,Nugget supposes since his goo friend ate goo.,,,,
1,76,Player,,,Is that a yes?,,
1,77,Nugget,Nugget will sign the paper. Nugget will be a thespian!,,,,
1,78,Player,,,Good for you Nugget.,,
1,79,Nugget,Oh my.<kgwait=1> Yes... Nugget's friend is too late. Nugget's friend should have eaten goo earlier so he had time to get help before the bell rang.,,,,
1,80,Player,,,I think I'm gonna-,,
1,81,Player,,,Smell this.,,
1,82,Nugget,A-<kgwait> A-<kgwait> A flower?!<kgwait> This flower... <kgwait>it is reminding Nugget of things. Of a time before the goo.,,,,
1,83,Player,,,Like two minutes ago?,,
1,84,Nugget,Such distant memories.<kgwait> Alas.,,,,
1,85,Player,,,Alas.,,
1,86,Nugget,Nugget is starting to feel quite odd after sniffing the-,,,,
1,87,Nugget,<size=100>AAAAAAAAAAAAHHHHHHHHHH!!!</size>,,,,
1,88,Player,,,What's wrong?,,
1,89,Nugget,What's wrong?! Look at poor Nugget!<kgwait> Nugget is covered in goo! Nugget needs to get the goo off!,,,,
1,90,Player,,,Good idea.,,
1,91,Teacher,"<wave>Excuse me, pardon me. Oh, child in my care,<kgwait><br>The bell has not yet rung, so you can't go in there!</wave>",,,,
1,92,Nugget,But Nugget is covered in goo!<kgwait> Nugget does not wish to be covered in goo any longer!,,,,
1,93,Teacher,<wave>I understand that you're covered in goo and ick!<kgwait><br>But I won't let you inside because you don't seem sick!</wave>,,,,
1,94,Nugget,Surely the sing-song lady will let Nugget inside!,,,,
1,95,Teacher,<wave>Perhaps I could. Perhaps I may.<kgwait><br>I'll let you in if you'll star in a play!</wave>,,,,
1,96,Nugget,"Yes, Nugget will do anything to remove the goo. Now can Nugget please go inside?",,,,
1,97,Teacher,<wave>Not so fast! Not so quick!<kgwait><br>You have to decide which play to pick!</wave>,,,,
1,98,Nugget,Nugget does not care which play!,,,,
1,99,Teacher,"<wave>Well, until you can name a play, I fear...<kgwait><br>You're going to have to stay right here.</wave>",,,,
1,100,Nugget,Nugget is growing frustrated.,,,,
1,101,Teacher,,,,,
1,102,Nugget,Nugget is growing increasingly frustrated with the sing-song teacher lady. Does Nugget's flower friend know any plays?,,,,
1,103,Player,,,I do.,,
1,104,Player,,,Nope.,,
1,105,Nugget,Aha!<kgwait> Nugget will pick one from this book!<kgwait> Nugget will do Romeo and Juliet!,,,,
1,106,Teacher,<wave>An excellent choice! I'm thrilled you know!<kgwait><br>You'll make a wonderful Shakespearean Romeo!</wave>,,,,
1,107,Nugget,"Yes, yes.<kgwait> Nugget will be great. Now can Nugget go inside?",,,,
1,108,Teacher,"<wave>Yes, you may, but heed my call.<kgwait><br>If you don't do the play, you'll get study hall!</wave>",,,,
1,109,Nugget,Nugget agrees to the sing-song lady's demands. Farewell.,,,,
1,110,Teacher,,,,,
1,111,Teacher,"<wave>I was going to put on the play, Little Red...<kgwait><br>But you would make a fantastic Romeo instead!</wave>",,,,
1,112,Player,,,Here.,,
1,113,Nugget,"This is a very peculiar Nugget of Friendship.<sup>TM</sup> It is green like goo and yet, not of goo at all.",,,,
1,114,Player,,,Do you want it?,,
