Conversation ID,Entry ID,Actor,Original Text,Translated Text [es],Original Menu,Translated Menu [es],Description
1,0,Player,,,,,
1,1,Nugget,Green goo. Green goo. Nugget likes the green goo.,Goo verde. Goo verde. A Nugget le gusta el goo verde.,,,
1,3,Player,,,"Uh... whatcha doing there, Nugget?","Eh... ¿qué haces ahí, Nugget?",
1,4,Nugget,Nugget is enjoying this nice puddle of green goo! Please join Nugget!,"¡Nugget está disfrutando este bonito charco de goo verde! ¡Por favor, únete a Nugget!",,,
1,10,Player,,,Ummm... okay.,Ummm... está bien.,
1,14,Player,,,No thanks.,"No, gracias.",
1,15,Nugget,Nugget has an idea! Nugget's new goo friend should eat the goo!,¡Nugget tiene una idea! ¡El nuevo amigo de Nugget debería comer el goo!,,,
1,16,Player,,,Sounds tasty.,Suena sabroso.,
1,17,Player,,,Sounds nasty.,Suena asqueroso.,
1,18,Nugget,,,"Yes, yes! Consume the goo as Nugget has and-","¡Sí, sí! Consume el goo como Nugget y—",
1,19,Nugget,Uh... Nugget's friend has turned green.,Eh... El amigo de Nugget se ha puesto verde.,,,
1,20,Player,,,I don't feel so good.,No me siento muy bien.,
1,21,Nugget,Perhaps Nugget's friend cannot endure the goo like Nugget can. Perhaps Nugget's friend should see the nurse.,Quizás el amigo de Nugget no puede soportar el goo como Nugget. Quizás el amigo de Nugget debería ver a la enfermera.,,,
1,22,Player,,,That might be a good idea.,Podría ser una buena idea.,
1,23,Nugget,The goo is not nasty! The goo would make excellent Nugget sauce!,¡El goo no es asqueroso! ¡El goo sería una excelente salsa para Nugget!,,,
1,24,Player,,,Fine. I'll try it.,Está bien. Lo probaré.,
1,25,Player,,,I'm not eating it.,No voy a comer eso.,
1,26,Nugget,If Nugget's friend insists. More goo for Nugget.,Si el amigo de Nugget insiste. Más goo para Nugget.,,,
1,32,Player,,,Enjoy that.,Disfruta eso.,
1,33,Nugget,,,,,
1,34,Player,,,(Leave him to his goo.),(Dejarlo con su goo.),
1,35,Nugget,Nugget's friend is the same color as the goo. Perhaps Nugget's friend should seek medical attention.,El amigo de Nugget es del mismo color que el goo. Quizás el amigo de Nugget deba buscar atención médica.,,,
1,36,Player,,,Good idea.,Buena idea.,
1,39,Nugget,Has Nugget's friend changed his mind? Would he like to try the goo?,¿El amigo de Nugget ha cambiado de opinión? ¿Le gustaría probar el goo?,,,
1,41,Player,,,Wanna be in a play?,¿Quieres estar en una obra?,
1,42,Nugget,Nugget is much too busy with his goo to become a thespian.,Nugget está demasiado ocupado con su goo para convertirse en un actor.,,,
1,43,Player,,,"Yeah, this looks pretty time consuming.","Sí, esto parece que toma mucho tiempo.",
1,44,Nugget,Unless...<kgwait>,A menos que...<kgwait>,,,
1,45,Player,,,Unless?,¿A menos que?,
1,46,Nugget,Nugget's casting director friend eats some of the goo with Nugget.,El amigo director de casting de Nugget coma algo de goo con Nugget.,,,
1,47,Player,,,Deal.,Trato hecho.,
1,48,Player,,,Not happening.,No va a pasar.,
1,49,Nugget,Yes! Consume the goo and Nugget will be an actor-!,¡Sí! Consume el goo y Nugget será un actor—!,,,
1,55,Player,,,That might be a good idea.,Podría ser una buena idea.,
1,56,Nugget,Nugget will start preparing for his role... <kgwait>after consuming more goo.,Nugget empezará a prepararse para su papel... <kgwait>después de consumir más goo.,,,
1,57,Player,,,Break a leg Nugget.,"Suerte, Nugget.",
1,58,Nugget,Very well. Nugget is happy to die a nameless nobody.,Muy bien. Nugget es feliz de morir como un don nadie sin nombre.,,,
1,59,Player,,,(Let him die a nameless nobody.),(Dejarlo morir como un don nadie sin nombre.),
1,60,Nugget,,,,,
1,61,Nugget,I see Nugget's friend did not die from the goo.,Veo que el amigo de Nugget no murió por el goo.,,,
1,62,Player,,,Nope. Bye.,Nope. Adiós.,
1,63,Player,,,I did not.,No lo hice.,
1,64,Nugget,Nugget is impressed by his goo eating friend's fortitude,Nugget está impresionado por la fortaleza de su amigo comedor de goo.,,,
1,65,Player,,,Me too honestly.,"Yo también, la verdad.",
1,66,Player,,,Wanna be Red Riding Hood?,¿Quieres ser Caperucita Roja?,
1,67,Player,,,How about you take this instead?,¿Qué tal si tomas esto en su lugar?,
1,68,Nugget,What is-?<kgwait> How did Nugget's friend procure a Nugget of Friendship<sup>TM</sup> without first being a friend of Nugget?,¿Qué es—?<kgwait> ¿Cómo consiguió el amigo de Nugget un Nugget de la Amistad<sup>TM</sup> sin ser primero amigo de Nugget?,,,
