Field,Default,Nombre traducido [es],Ubicación traducida [es]
Slurpolotl,Hiding under your bed.,Slurpolotl,Escondido debajo de tu cama.
Bung Deetle,Hiding in the back of Booboo's crate.,Bung Deetle,Escondido en la parte trasera de la jaula de Booboo.
Stoic Seagull,Get dropped by the bird at recess.,Gaviota Estoica,Te deja caer el pájaro durante el recreo.
Bloaty,Given for starting Carla's mission while in possession of her vent map.,Hinchadito,Se obtiene al iniciar la misión de Carla mientras tienes su mapa de ventilación.
Disappointed Snake,Obtained when completing Helicopter Parenting without tell Monty about his impending betrayal.,Serpiente Decepcionada,Se obtiene al completar “Helicóptero Parental” sin contarle a Monty sobre su inminente traición.
Petty Piranha,Attempt to flush Guppy.,Piraña Rencorosa,Intenta tirar a Guppy por el inodoro.
Carnivorous Nimbus,Hidden on the scaffolding near the helicopter pad.,Nimbo Carnívoro,Escondido en los andamios cerca de la pista de helicópteros.
Dumb Fish,Try to put Guppy back in his bowl.,Pez Tonto,Intenta volver a poner a Guppy en su pecera.
Hard Boogar,Hiding under a desk in Mr. Scippio's classroom.,Moco Duro,Escondido bajo un escritorio en el aula del Sr. Scippio.
Ultralodon,Get eaten by Linda.,Ultralodón,Deja que Linda te coma.
Birb,On the ledge overlooking the front of the school.,Birb,En la cornisa con vista a la entrada de la escuela.
Suspicious Lion,Obtained when completing Carla's mission.,León Sospechoso,Se obtiene al completar la misión de Carla.
Balloon Boar,Found on the Nurse's body after she's been attacked by Nugget.,Jabalí Globo,Encontrado en el cuerpo de la Enfermera después de que Nugget la haya atacado.
Bullzerker,Get sliced in half by Kevin.,Bullzérker,Déjate partir en dos por Kevin.
Man On Fire,Get burned to death by Ms. Lovelett.,Hombre en Llamas,Muere quemado por la Sra. Lovelett.
Cigaretmon,Revealed when solving the duck puzzle in the cafeteria.,Cigaretmon,Aparece al resolver el rompecabezas de los patos en la cafetería.
Cyclops Duckling,Revealed when solving the duck puzzle in the cafeteria.,Patito Cíclope,Aparece al resolver el rompecabezas de los patos en la cafetería.
Hearty Heart,Interrupt Ms. Applegate's phone call with Bob three times.,Corazón Corazonudo,Interrumpe la llamada de la Sra. Applegate con Bob tres veces.
Jawless Dog,Get bitten by Booboo.,Perro Desdentado,Deja que Booboo te muerda.
Chair of Spikes,Fall down a trap door.,Silla de Pinchos,Cae por una trampilla.
Frowny Frog,Obtained when completing Janitor's mission,Rana Triste,Se obtiene al completar la misión del conserje.
Mean Green Penguin,Behind the tables in the reversion chamber room.,Pingüino Verde Gruñón,Detrás de las mesas en la sala de la cámara de reversión.
Tree Froggy,Get kicked into a wall by Monty for pushing him at recess.,Rana del Árbol,Monty te patea contra la pared por empujarlo en el recreo.
Thikorita,Complete the RC car puzzle in the janitor's closet.,Thikorita,Completa el rompecabezas del coche RC en el armario del conserje.
Shrewd Goblin,Revealed after telling Monty he is going to be betrayed by Felix.,Duende Astuto,Aparece después de contarle a Monty que va a ser traicionado por Felix.
Literally Grass,Run yourself over with the lawnmower.,Literalmente Pasto,Pásate por encima con la podadora.
Ohfaka Tornado,Obtained when completing teacher's mission,Tornado Ohfaka,Se obtiene al completar la misión de la maestra.
Monstrous Flytrap,Obtained when completing emmy's mission,Dionaea Monstruosa,Se obtiene al completar la misión de Emmy.
Chill Stump,Hidden in the tree on the playground.,Toconcito Relajado,Escondido en el árbol del patio de juegos.
Mystical Tomato,Give Mr. Scippio some ketchup to drink during lunch.,Tomate Místico,Dale un poco de kétchup al Sr. Scippio para que beba durante el almuerzo.
Meatball,Complete Nugget-o and Lily-et.,Albóndiga,Completa Nugget-o y Lily-et.
Tricerabottom,Get hit by a meteor by hanging out on the roof too long after being dropped off by Birdy.,Tricerafondo,Recibe el impacto de un meteorito quedándote demasiado tiempo en el techo después de que Birdy te deje.
Brain Dragon,Get a perfect score while tutoring Cindy's daughter.,Dragón Cerebro,Obtén una puntuación perfecta mientras das clases particulares a la hija de Cindy.
Sword Pig,Obtained when completing janitor's mission,Cerdo Espada,Se obtiene al completar la misión del conserje.
Tough Bunny,Get attacked by a bunny.,Conejo Rudo,Deja que te ataque un conejo.
Wonder Bird,Feed Linda her gator nugget instead of the duck at the end of Nugget-o and Lily-et.,Ave Maravilla,Dale a Linda su pepita de caimán en vez del pato al final de Nugget-o y Lily-et.
Golden Dewdrop,Return the trophy to the trophy case in the hallway.,Gota de Oro,Devuelve el trofeo a la vitrina en el pasillo.
Forbidden Book,Hidden in the dark bookcase in the library.,Libro Prohibido,Oculto en la estantería oscura de la biblioteca.
Pot of Grease,Give Ms. Applegate a pill during lunch.,Olla de Grasa,Dale una pastilla a la Sra. Applegate durante el almuerzo.
Mr. Nice Guy,Obtained when completing alice's mission,Señor Buen Tipo,Se obtiene al completar la misión de Alice.
Egg Head,Given by the real Principal for saying you like 'OOG.',Cabeza de Huevo,Te lo da el verdadero Director por decir que te gusta 'OOG'.
Snuggly Bear,Give Nugget a nugget after he breaks his legs.,Osito Acurrucador,Dale una pepita a Nugget después de que se rompa las piernas.
Froyo Ghost,Revealed when entering the code from the purple page on the roof.,Fantasma de Froyo,Aparece al ingresar el código de la página morada en el techo.
Dank Magician,Summoned by the Wizard when trying to recruit her for a play.,Mago Fumado,Invocado por la Hechicera al intentar reclutarla para una obra de teatro.
Sock Spirit,Use the key on the roof to open the lost and found.,Espíritu del Calcetín,Usa la llave en el techo para abrir objetos perdidos.
Caterpillar Dog,Found on Booboo after he goes down the slide.,Perro Oruga,Se encuentra en Booboo después de que baje por el tobogán.
Mysterious Package,Check the box the janitor delivers during Felix's mission.,Paquete Misterioso,Revisa la caja que entrega el conserje durante la misión de Felix.
Killer Eye,Inspect the defeated robot in the classroom.,Ojo Asesino,Inspecciona el robot derrotado en el salón de clases.
Mole Mole,Shoot the mole off Regis's face during final mission.,Topo Topo,Dispara al topo en la cara de Regis durante la misión final.
Evil Thwarter,Beat the game.,Antivillano,Supera el juego.
