Field,Default,Nombre traducido [es],Descripción traducida [es]
Slurpolotl,One of the Slurper's many disciples.,Slurpolotl,Uno de los muchos discípulos de Slurper.
Bung Deetle,Hangs out in diles of pung.,Escarabunco,Se pasa el día entre montones de pung.
Stoic Seagull,Completely expressionless while he tries to steal your sandwich.,Gaviota Estoica,Totalmente inexpresiva mientras intenta robarte el sándwich.
Bloaty,"That's not an eye, it's his belly button.",Panzón,"Eso no es un ojo, es su ombligo."
Disappointed Snake,Just like your father...,Serpiente Decepcionada,Igual que tu padre...
Petty Piranha,He's just a little upset you got more flesh at the last feeding frenzy.,Piraña Rencorosa,Le molesta que hayas conseguido más carne en la última comilona.
Carnivorous Nimbus,It's known to eat birds and aircraft. They are commonly found over the Bermuda Triangle.,Nimbo Carnívoro,Se sabe que come pájaros y aviones. Normalmente se encuentra sobre el Triángulo de las Bermudas.
Dumb Fish,Even dumber than your average gold fish.,Pez Menso,Más tonto que el pez dorado promedio.
Hard Boogar,There's an odd satisfaction that comes with its removal.,Moco Duro,Hay una satisfacción rara al quitarlo.
Ultralodon,At the top of the top of the food chain. It only eats megalodons.,Ultralodón,En la cima de la cima de la cadena alimenticia. Solo come megalodones.
Birb,He's just a good old-fashioned Birb.,Párb,Solo es un buen Párb a la antigua.
Suspicious Lion,He's looking at you like he knows what you did...or like he's gonna eat you.,León Sospechoso,Te mira como si supiera lo que hiciste... o como si fuera a comerte.
Balloon Boar,That's just a zit. The kids at his school came up with his name.,Jabalí Globo,Eso solo es un grano. Los niños de su escuela le pusieron ese nombre.
Bullzerker,He gets really angry at the color red. Don't show him a mirror.,Torozker,Se enfurece cuando ve el color rojo. No le enseñes un espejo.
Man On Fire,Does anyone want to help him?,Hombre en Llamas,¿Alguien quiere ayudarlo?
Cigaretmon,Does damage by giving his opponents lung cancer.,Cigaretmon,Hace daño dando cáncer de pulmón a sus oponentes.
Cyclops Duckling,It's not a special breed of duckling. It just had its eye pecked out by a bigger duckling.,Patito Cíclope,No es una raza especial de pato. Solo que otro patito más grande le picoteó el ojo.
Hearty Heart,He's just happy to see others happy.,Corazón Corazonudo,Solo se alegra de ver felices a los demás.
Jawless Dog,Soft food only.,Perro Desdentado,Solo comida blanda.
Chair of Spikes,It's still more comfortable than most chairs in schools.,Silla de Pinchos,Aún así es más cómoda que la mayoría de las sillas de las escuelas.
Frowny Frog,Someone ate his legs. :(,Rana Tristona,Alguien se comió sus patas. :(
